image,ground_truth,true_positive,false_negative,false_positive,error_score
OLD_DATE_0_5.jpg,3,0,3,2,8
OI7_840889f692dd1a0f.jpg,5,3,2,3,7
OLD_OIV7_laptop_OI7_LAP_0008_b6ab01e24cac855b.jpg,6,3,3,0,6
OI7_1cb176b5ab13ff99.jpg,3,1,2,1,5
OLD_DATE_0_10.jpg,3,1,2,1,5
OI7_9e2c53451ec7bbc0.jpg,4,2,2,0,4
OI7_a8b164235b631065.jpg,2,0,2,0,4
OI7_0378fe468292e979.jpg,1,0,1,2,4
OI7_804317fa143f01df.jpg,1,0,1,2,4
OLD_DATASET_cup_IMG_20260831_084520_3.jpg,1,0,1,2,4
OLD_DATASET_cup_IMG_20260831_084521.jpg,1,0,1,2,4
OLD_OIV7_laptop_OI7_LAP_0006_a7e5d2727af4299d.jpg,2,1,1,2,4
OLD_P05_S02_MIX_0040.jpg,2,1,1,2,4
OI7_1f5cf6e96f0e0690.jpg,1,0,1,1,3
OI7_24050ee6edd2a211.jpg,1,0,1,1,3
OI7_31e0383b18a48a63.jpg,3,2,1,1,3
OI7_373c26ce480f8d29.jpg,1,0,1,1,3
OI7_eaf15e4423383868.jpg,1,0,1,1,3
OLD_DATE_0_11.jpg,3,2,1,1,3
OLD_DATE_0_6.jpg,2,1,1,1,3
OLD_P05_S02_MIX_0123.jpg,4,3,1,1,3
OLD_P05_S03_MIX_0090.jpg,3,2,1,1,3
OLD_P05_S04_MIX_0093.jpg,4,3,1,1,3
OI7_6eb03384f25d3f01.jpg,1,0,1,0,2
OI7_ab3b34535ddc2889.jpg,3,2,1,0,2
OI7_bfc0ce182c289c0f.jpg,1,0,1,0,2
OI7_c9d9cea323d50bae.jpg,1,0,1,0,2
OI7_cb85672f60288c87.jpg,2,1,1,0,2
OI7_e9d953615c45d8a3.jpg,1,0,1,0,2
OLD_OIV7_mouse_OI7_MOU_0004_128f92487d754a0c.jpg,2,1,1,0,2
OI7_58a0c796e16d767e.jpg,1,1,0,2,2
OI7_cf52d4e5aaab1bc7.jpg,1,1,0,2,2
OLD_DATASET_cup_IMG_20260831_084520.jpg,1,1,0,2,2
OI7_22fa860f70c6f856.jpg,1,1,0,1,1
OI7_2409d5d183ffa37b.jpg,1,1,0,1,1
OI7_289a988c35d57894.jpg,1,1,0,1,1
OI7_36a94963587fca6e.jpg,1,1,0,1,1
OI7_3d67735b6d377690.jpg,2,2,0,1,1
OI7_97f77c9d556c4034.jpg,1,1,0,1,1
OI7_d49126af990e11ae.jpg,1,1,0,1,1
OI7_fce8194fab48c500.jpg,1,1,0,1,1
OLD_DATASET_cup_IMG_20260831_084520_4.jpg,1,1,0,1,1
OLD_DATE_0_7.jpg,2,2,0,1,1
OLD_DATE_0_8.jpg,2,2,0,1,1
OLD_DATE_1_6.jpg,0,0,0,1,1
OLD_DATE_1_7.jpg,0,0,0,1,1
OLD_P03_S02_MIX_0011.jpg,2,2,0,1,1
OLD_P03_S02_MIX_0012.jpg,2,2,0,1,1
OLD_P03_S04_MIX_0026.jpg,2,2,0,1,1
OLD_P05_S04_HDP_0050.jpg,1,1,0,1,1
OLD_P05_S05_NEG_0030.jpg,0,0,0,1,1
