epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9197,1.02635,3.73723,1.40723,0.4509,0.56664,0.45486,0.27877,1.11735,3.98202,1.60054,0.000410354,0.000410354,0.000410354
2,24.2995,1.22754,2.1898,1.57531,0.30578,0.46261,0.32018,0.19166,1.41194,3.4573,1.91228,0.000826818,0.000826818,0.000826818
3,35.1752,1.28627,1.85416,1.59547,0.55975,0.54018,0.52833,0.29948,1.47578,2.70208,2.03838,0.00124247,0.00124247,0.00124247
4,45.7289,1.25169,1.69804,1.55746,0.708,0.52665,0.59056,0.35074,1.42822,2.34856,2.00209,0.00124725,0.00124725,0.00124725
5,57.4343,1.233,1.61484,1.55225,0.54293,0.54255,0.54428,0.31367,1.57494,2.22628,1.92492,0.00124512,0.00124512,0.00124512
6,68.3473,1.18109,1.54195,1.48944,0.61505,0.52646,0.61397,0.37985,1.31077,1.98344,1.84174,0.00124238,0.00124238,0.00124238
7,79.9767,1.16853,1.49007,1.4963,0.69559,0.58215,0.64799,0.41421,1.32047,1.90953,1.77929,0.00123904,0.00123904,0.00123904
8,90.8212,1.16338,1.42739,1.48101,0.62496,0.64364,0.65454,0.39379,1.42286,1.96801,1.87018,0.0012351,0.0012351,0.0012351
9,101.959,1.14007,1.40921,1.48906,0.68786,0.6397,0.70087,0.44345,1.20467,1.48791,1.70819,0.00123056,0.00123056,0.00123056
10,114.634,1.13694,1.35452,1.48103,0.8429,0.64281,0.75919,0.49696,1.12164,1.53192,1.58682,0.00122543,0.00122543,0.00122543
11,126.154,1.10581,1.31469,1.45644,0.72012,0.64219,0.70561,0.46225,1.23608,1.55426,1.67012,0.00121972,0.00121972,0.00121972
12,137.211,1.09711,1.32924,1.44503,0.75293,0.68318,0.79124,0.52541,1.18206,1.39635,1.61575,0.00121342,0.00121342,0.00121342
13,147.714,1.09204,1.2876,1.43501,0.8065,0.68029,0.79661,0.52849,1.17363,1.28605,1.62823,0.00120655,0.00120655,0.00120655
14,158.048,1.06346,1.25921,1.41379,0.74717,0.65384,0.72525,0.46164,1.19787,1.43818,1.58751,0.00119911,0.00119911,0.00119911
15,167.987,1.06645,1.21916,1.41465,0.77932,0.73522,0.80853,0.53981,1.11184,1.17242,1.56972,0.00119111,0.00119111,0.00119111
16,178.221,1.0464,1.21219,1.40049,0.83747,0.68584,0.80936,0.53894,1.10745,1.18085,1.5727,0.00118256,0.00118256,0.00118256
17,188.742,1.03981,1.19797,1.38571,0.80288,0.70453,0.79464,0.54253,1.11196,1.24446,1.58348,0.00117346,0.00117346,0.00117346
18,199.286,1.03204,1.1755,1.38713,0.85118,0.68235,0.7809,0.5098,1.14219,1.34088,1.54535,0.00116383,0.00116383,0.00116383
19,210.816,0.9886,1.12845,1.35462,0.83281,0.68862,0.79803,0.52058,1.11713,1.32251,1.5727,0.00115368,0.00115368,0.00115368
20,222.124,1.01012,1.11974,1.37859,0.84393,0.75831,0.84462,0.55294,1.1719,1.07898,1.64735,0.00114301,0.00114301,0.00114301
21,232.236,0.99434,1.08993,1.35459,0.78168,0.77767,0.82811,0.53704,1.08716,1.05843,1.53756,0.00113183,0.00113183,0.00113183
22,242.347,0.97803,1.10375,1.34014,0.78402,0.76314,0.83779,0.57175,1.05014,1.05043,1.4798,0.00112016,0.00112016,0.00112016
23,253.07,0.99155,1.07515,1.36272,0.75098,0.77588,0.84504,0.57404,1.07275,1.00464,1.52481,0.00110801,0.00110801,0.00110801
24,263.335,0.95754,1.00208,1.34564,0.82008,0.74886,0.84712,0.59358,1.08244,1.01406,1.55652,0.00109538,0.00109538,0.00109538
25,273.36,0.95191,1.02717,1.33758,0.9027,0.74766,0.87498,0.60227,1.05365,0.96579,1.52022,0.0010823,0.0010823,0.0010823
26,283.655,0.91933,0.99758,1.31817,0.84461,0.80218,0.85979,0.59464,1.12342,0.93689,1.53696,0.00106877,0.00106877,0.00106877
27,294.486,0.94397,1.01499,1.32936,0.79587,0.77156,0.82952,0.5609,1.1414,1.12207,1.54627,0.00105481,0.00105481,0.00105481
28,305.718,0.95769,0.99116,1.33521,0.79722,0.75673,0.84186,0.59266,1.04095,1.04651,1.47189,0.00104044,0.00104044,0.00104044
29,316.337,0.93286,0.96561,1.32248,0.87952,0.74369,0.85517,0.58172,1.07516,1.0543,1.47989,0.00102566,0.00102566,0.00102566
30,327.138,0.89747,0.91889,1.28314,0.84929,0.76848,0.85401,0.58773,1.08243,0.98466,1.48392,0.00101049,0.00101049,0.00101049
31,338.471,0.93951,0.9556,1.30625,0.83105,0.78241,0.85392,0.6043,1.0321,0.92014,1.45477,0.000994942,0.000994942,0.000994942
32,350.903,0.89529,0.92754,1.28672,0.92142,0.753,0.88759,0.62192,1.00287,0.93339,1.47904,0.000979039,0.000979039,0.000979039
33,362.553,0.94062,0.94336,1.31795,0.81282,0.8186,0.86559,0.57635,1.1394,0.96438,1.52127,0.000962793,0.000962793,0.000962793
34,373.675,0.91518,0.91855,1.29293,0.84324,0.78705,0.86295,0.58437,1.07608,0.92839,1.52566,0.000946219,0.000946219,0.000946219
35,384.783,0.91118,0.90792,1.29731,0.92407,0.77329,0.87888,0.59914,1.0518,0.91786,1.4856,0.000929335,0.000929335,0.000929335
36,395.666,0.87934,0.88945,1.2738,0.84096,0.74544,0.85011,0.58422,1.06741,1.00322,1.49012,0.000912157,0.000912157,0.000912157
