"image","ground_truth","prediction","missed","extra","error_score"
"OIV7_laptop_OI7_LAP_0008_b6ab01e24cac855b.jpg","0;2;4;0;0","0;0;1;0;0","5","0","5"
"DATE_0_5.jpg","1;0;2;1;0","0;0;0;0;0","4","0","4"
"P05_S02_MIX_0068.jpg","1;0;1;0;1","5;0;1;0;1","0","4","4"
"DATE_0_7.jpg","1;0;1;2;0","1;0;0;0;0","3","0","3"
"DATE_0_10.jpg","1;1;1;0;0","0;1;0;0;0","2","0","2"
"DATE_0_11.jpg","1;1;1;1;0","1;1;0;0;0","2","0","2"
"DATE_0_6.jpg","1;0;1;1;0","1;0;0;0;0","2","0","2"
"P05_S04_MIX_0093.jpg","1;1;1;0;1","0;0;1;0;1","2","0","2"
"DATE_5_8.jpg","0;0;0;1;0","1;0;0;0;0","1","1","2"
"DATE_5_9.jpg","0;0;0;1;0","1;0;0;0;0","1","1","2"
"DATASET_cup_IMG_20260831_084524_5.jpg","0;1;0;1;0","0;0;0;1;0","1","0","1"
"DATE_0_9.jpg","0;1;1;0;0","0;1;0;0;0","1","0","1"
"DATE_5_10.jpg","0;0;0;1;0","0;0;0;0;0","1","0","1"
"DATE_5_11.jpg","0;0;0;1;0","0;0;0;0;0","1","0","1"
"P03_S04_MIX_0026.jpg","0;1;0;0;1","0;1;0;0;0","1","0","1"
"P03_S04_MIX_0027.jpg","0;1;0;0;1","0;1;0;0;0","1","0","1"
"P03_S04_MIX_0028.jpg","0;1;0;0;1","0;1;0;0;0","1","0","1"
"DATASET_cup_IMG_20260831_084520_1.jpg","0;0;0;1;0","0;1;0;1;0","0","1","1"
"DATASET_cup_IMG_20260831_084520_2.jpg","0;0;0;1;0","0;1;0;1;0","0","1","1"
"DATASET_cup_IMG_20260831_084521_4.jpg","0;0;0;1;0","0;1;0;1;0","0","1","1"
"DATASET_cup_IMG_20260831_084522_4.jpg","0;0;0;1;0","0;1;0;1;0","0","1","1"
"DATE_1_7.jpg","0;0;0;0;0","0;0;1;0;0","0","1","1"
"P03_S02_MIX_0029.jpg","0;1;0;0;1","0;1;0;1;1","0","1","1"
"P05_S01_LAP_0068.jpg","0;0;1;0;0","0;0;1;1;0","0","1","1"
"P05_S02_MIX_0040.jpg","1;1;0;0;0","2;1;0;0;0","0","1","1"
"P05_S02_MIX_0106.jpg","1;1;1;0;1","1;1;1;0;2","0","1","1"
"P05_S02_MIX_0123.jpg","1;1;1;1;1","2;1;1;1;1","0","1","1"
"P05_S05_NEG_0030.jpg","0;0;0;0;0","0;0;1;0;0","0","1","1"
"DATASET_cup_IMG_20260831_084520_3.jpg","0;1;0;1;0","0;1;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084520_4.jpg","0;1;0;1;0","0;1;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084520.jpg","0;1;0;1;0","0;1;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084521_5.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084521.jpg","0;1;0;1;0","0;1;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084522.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084523_2.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084523.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084524_3.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATASET_cup_IMG_20260831_084525_4.jpg","0;0;0;1;0","0;0;0;1;0","0","0","0"
"DATE_0_4.jpg","1;0;1;0;0","1;0;1;0;0","0","0","0"
"DATE_0_8.jpg","0;1;1;0;0","0;1;1;0;0","0","0","0"
"DATE_1_4.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"DATE_1_5.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"DATE_1_6.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"OIV7_laptop_OI7_LAP_0006_a7e5d2727af4299d.jpg","0;1;1;0;0","0;1;1;0;0","0","0","0"
"OIV7_mouse_OI7_MOU_0004_128f92487d754a0c.jpg","2;0;0;0;0","2;0;0;0;0","0","0","0"
"P03_S02_MIX_0006.jpg","1;1;1;1;1","1;1;1;1;1","0","0","0"
"P03_S02_MIX_0011.jpg","1;0;0;1;1","1;0;0;1;1","0","0","0"
"P03_S02_MIX_0012.jpg","1;0;0;1;1","1;0;0;1;1","0","0","0"
"P03_S02_MIX_0026.jpg","0;1;1;0;1","0;1;1;0;1","0","0","0"
"P03_S02_MIX_0027.jpg","0;1;1;0;1","0;1;1;0;1","0","0","0"
"P03_S02_MIX_0028.jpg","0;1;1;0;1","0;1;1;0;1","0","0","0"
"P03_S02_MIX_0030.jpg","0;1;0;0;1","0;1;0;0;1","0","0","0"
"P03_S02_MIX_0031.jpg","0;1;0;0;1","0;1;0;0;1","0","0","0"
"P03_S04_MIX_0020.jpg","1;1;0;1;0","1;1;0;1;0","0","0","0"
"P03_S04_MIX_0021.jpg","1;1;0;1;0","1;1;0;1;0","0","0","0"
"P03_S04_MIX_0022.jpg","1;1;0;1;0","1;1;0;1;0","0","0","0"
"P03_S04_MIX_0023.jpg","1;0;1;0;0","1;0;1;0;0","0","0","0"
"P03_S04_MIX_0024.jpg","1;0;1;0;0","1;0;1;0;0","0","0","0"
"P03_S04_MIX_0025.jpg","1;0;1;0;0","1;0;1;0;0","0","0","0"
"P03_S04_MIX_0029.jpg","1;1;1;0;0","1;1;1;0;0","0","0","0"
"P03_S04_MIX_0030.jpg","1;1;1;0;0","1;1;1;0;0","0","0","0"
"P03_S04_MIX_0031.jpg","1;1;1;0;0","1;1;1;0;0","0","0","0"
"P03_S05_NEG_0026.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"P03_S05_NEG_0027.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"P03_S05_NEG_0028.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"P05_S01_HDP_0107.jpg","0;0;0;0;1","0;0;0;0;1","0","0","0"
"P05_S01_HDP_0117.jpg","0;0;0;0;1","0;0;0;0;1","0","0","0"
"P05_S01_MOU_0009.jpg","1;0;0;0;0","1;0;0;0;0","0","0","0"
"P05_S02_MIX_0008.jpg","1;0;0;0;1","1;0;0;0;1","0","0","0"
"P05_S02_MIX_0009.jpg","1;0;0;0;1","1;0;0;0;1","0","0","0"
"P05_S02_MIX_0075.jpg","1;0;0;1;1","1;0;0;1;1","0","0","0"
"P05_S02_MIX_0108.jpg","1;1;1;0;1","1;1;1;0;1","0","0","0"
"P05_S02_MIX_0112.jpg","1;1;0;1;1","1;1;0;1;1","0","0","0"
"P05_S02_MIX_0122.jpg","1;1;1;1;1","1;1;1;1;1","0","0","0"
"P05_S02_MIX_0125.jpg","1;1;1;1;1","1;1;1;1;1","0","0","0"
"P05_S03_HDP_0048.jpg","0;0;0;0;1","0;0;0;0;1","0","0","0"
"P05_S03_MIX_0090.jpg","1;0;1;0;1","1;0;1;0;1","0","0","0"
"P05_S03_MOU_0002.jpg","1;0;0;0;0","1;0;0;0;0","0","0","0"
"P05_S03_MOU_0005.jpg","1;0;0;0;0","1;0;0;0;0","0","0","0"
"P05_S04_HDP_0050.jpg","0;0;0;0;1","0;0;0;0;1","0","0","0"
"P05_S05_NEG_0026.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
"P05_S05_NEG_0034.jpg","0;0;0;0;0","0;0;0;0;0","0","0","0"
